"Calling_Number";"Calling_IMEI";"Date";"Heure";"Type";"Duration";"Called_Number";"Called_IMEI";"Forward_Number";"End Time"
"4R3R338RRRR";;07/12/2016;16:13:56;"Incoming Call";"00:01:06";"4RU64I8I242";"353R2RIU44R94RI";"4RU64I8I242";07.12.2016 16:15:02
"4RU64I8I242";"353R2RIU44R94RI";07/12/2016;17:40:33;"Outgoing Call";"00:01:25";"4RU6396I242";;"4RU6396I242";07.12.2016 17:41:58
"4RU64I8I242";"353R2RIU44R94RI";07/12/2016;17:43:02;"Outgoing Call";"00:00:54";"4RU88UR5U88";;"4RU88UR5U88";07.12.2016 17:43:56
"4RU64I8I242";"353R2RIU44R94RI";07/12/2016;18:06:38;"Outgoing Call";"00:00:24";"4RU6URR9U92";;"4RU6URR9U92";07.12.2016 18:07:02
"4RU64I8I242";"353R2RIU44R94RI";07/12/2016;18:07:21;"Outgoing Call";"00:00:24";"4RU6URR9U92";;"4RU6URR9U92";07.12.2016 18:07:45
"4RU64I8I242";"353R2RIU44R94RI";07/12/2016;18:23:47;"Outgoing Call";"00:00:20";"4RU62R64663";;"4RU62R64663";07.12.2016 18:24:07
"4RU6UI4U86U";;07/12/2016;19:48:39;"Incoming Call";"00:00:53";"4RU64I8I242";"353R2RIU44R94RI";"4RU64I8I242";07.12.2016 19:49:32
"4RU6396I242";;07/12/2016;20:09:15;"Incoming SMS";"00:00:00";"4RU64I8I242";"353R2RIU44R94RIR";"4RU6598III6";
"4RU6396I242";;07/12/2016;20:09:17;"Incoming SMS";"00:00:00";"4RU64I8I242";"353R2RIU44R94RIR";"4RU6598III6";
"4RU64I8I242";"353R2RIU44R94RI";07/12/2016;21:07:49;"Outgoing Call";"00:02:58";"4RU9835RI39";;"4RU9835RI39";07.12.2016 21:10:47
"4RU64I8I242";"353R2RIU44R94RIR";07/12/2016;21:13:44;"Outgoing SMS";"00:00:00";"4RU86833R44";;"4RU6598III6";
"4RU86833R44";;07/12/2016;21:14:46;"Incoming SMS";"00:00:00";"4RU64I8I242";"353R2RIU44R94RI";"4RU893RII99";
"4RU64I8I242";"353R2RIU44R94RIR";07/12/2016;21:15:26;"Outgoing SMS";"00:00:00";"4RU86833R44";;"4RU6598III6";
"4RU86833R44";;07/12/2016;21:19:23;"Incoming SMS";"00:00:00";"4RU64I8I242";"353R2RIU44R94RI";"4RU893RII99";
"4RU64I8I242";"353R2RIU44R94RI";07/12/2016;21:53:01;"Outgoing Call";"00:01:49";"4RU6UU6U223";;"4RU6UU6U223";07.12.2016 21:54:50
"4RU64I8I242";"353R2RIU44R94RI";07/12/2016;23:00:19;"Outgoing Call";"00:00:30";"4RU6UU6U223";;"4RU6UU6U223";07.12.2016 23:00:49
"4RU6UU6U223";;07/12/2016;23:03:15;"Incoming Call";"00:00:46";"4RU64I8I242";"353R2RIU44R94RI";"4RU64I8I242";07.12.2016 23:04:01
"4RU64I8I242";"353R2RIU44R94RI";07/12/2016;23:37:27;"Outgoing Call";"00:01:11";"4RU6UU6U223";;"4RU6UU6U223";07.12.2016 23:38:38
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;00:02:43;"Outgoing Call";"00:01:37";"4RU6UU6U223";;"4RU6UU6U223";08.12.2016 00:04:20
"4RU64I8I242";"353R2RIU44R94RIR";08/12/2016;00:06:01;"Outgoing SMS";"00:00:00";"4RU86833R44";;"4RU6598III6";
"4RU86833R44";;08/12/2016;00:06:21;"Incoming SMS";"00:00:00";"4RU64I8I242";"353R2RIU44R94RI";"4RU893RII99";
"4RU64I8I242";"353R2RIU44R94RIR";08/12/2016;00:11:56;"Outgoing SMS";"00:00:00";"4RU86833R44";;"4RU6598III6";
"4RU64I8I242";"353R2RIU44R94RIR";08/12/2016;00:16:06;"Outgoing SMS";"00:00:00";"4RU86833R44";;"4RU6598III6";
"4RU86833R44";;08/12/2016;00:55:09;"Incoming SMS";"00:00:00";"4RU64I8I242";"353R2RIU44R94RI";"4RU893RII99";
"Snapchat";;08/12/2016;01:54:53;"Incoming SMS";"00:00:00";"4RU64I8I242";"353R2RIU44R94RI";"4RU94999II6";
"4RU6UU6U223";;08/12/2016;01:59:41;"Incoming SMS";"00:00:00";"4RU64I8I242";"353R2RIU44R94RIR";"4RU6598III3";
"4RU64I8I242";"353R2RIU44R94RIR";08/12/2016;02:00:01;"Outgoing SMS";"00:00:00";"4RU6UU6U223";;"4RU6598III6";
"4RU6UU6U223";;08/12/2016;02:01:46;"Incoming SMS";"00:00:00";"4RU64I8I242";"353R2RIU44R94RIR";"4RU6598III3";
"4RU8UI4UIR5";;08/12/2016;07:33:51;"Incoming Call";"00:00:27";"4RU64I8I242";"353R2RIU44R94RI";"4RU64I8I242";08.12.2016 07:34:18
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;07:35:02;"Outgoing Call";"00:00:09";"4RU9835RI39";;"4RU9835RI39";08.12.2016 07:35:11
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;07:35:39;"Outgoing Call";"00:00:21";"4RU9835RI39";;"4RU9835RI39";08.12.2016 07:36:00
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;10:11:51;"Outgoing Call";"00:00:54";"4RU89286696";;"4RU89286696";08.12.2016 10:12:45
"4RU89286696";;08/12/2016;10:13:44;"Incoming SMS";"00:00:00";"4RU64I8I242";"353R2RIU44R94RI";"4RU893RII99";
"4RU6UI4U86U";;08/12/2016;10:27:17;"Incoming Call";"00:00:13";"4RU64I8I242";"353R2RIU44R94RI";"4RU64I8I242";08.12.2016 10:27:30
"4RU6UI4U86U";;08/12/2016;10:30:46;"Incoming SMS";"00:00:00";"4RU64I8I242";"353R2RIU44R94RIR";"4RU6598III3";
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;10:40:38;"Outgoing Call";"00:00:12";"4RU8UU64IUU";;"4RU8UU64IUU";08.12.2016 10:40:50
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;10:41:14;"Outgoing Call";"00:00:41";"4RU9835RI39";;"4RU9835RI39";08.12.2016 10:41:55
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;10:42:22;"Outgoing Call";"00:01:36";"4RU6664U2R8";;"4RU6664U2R8";08.12.2016 10:43:58
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;10:44:25;"Outgoing Call";"00:02:29";"4RU639I2R4I";;"4RU639I2R4I";08.12.2016 10:46:54
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;10:47:17;"Outgoing Call";"00:04:08";"4RU9835RI39";;"4RU9835RI39";08.12.2016 10:51:25
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;10:51:39;"Outgoing Call";"00:00:02";"4RU89R984U4";;"4RU89R984U4";08.12.2016 10:51:41
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;10:55:29;"Outgoing Call";"00:00:38";"4RU6534R545";;"4RU6534R545";08.12.2016 10:56:07
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;10:56:47;"Outgoing Call";"00:02:25";"4RU8955I4UU";;"4RU8955I4UU";08.12.2016 10:59:12
"4RU64I8I242";;08/12/2016;11:06:16;"Forward";"00:00:07";"4RU6664U2R8";;"4RU6664U2R8";
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;11:06:16;"Outgoing Call";"00:00:07";"4RU6664U2R8";;"4RU6664U2R8";08.12.2016 11:06:23
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;11:11:01;"Outgoing Call";"00:00:15";"4RU639I2R4I";;"4RU639I2R4I";08.12.2016 11:11:16
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;11:19:55;"Outgoing Call";"00:00:29";"4RU9835RI39";;"4RU9835RI39";08.12.2016 11:20:24
"4RU6UI4U86U";;08/12/2016;11:20:37;"Incoming Call";"00:00:49";"4RU64I8I242";"353R2RIU44R94RI";"4RU64I8I242";08.12.2016 11:21:26
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;11:22:03;"Outgoing Call";"00:03:38";"4RU8UU64IUU";;"4RU8UU64IUU";08.12.2016 11:25:41
"4RU8UU64IUU";;08/12/2016;11:34:55;"Incoming Call";"00:00:18";"4RU64I8I242";"353R2RIU44R94RI";"4RU64I8I242";08.12.2016 11:35:13
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;11:50:13;"Outgoing Call";"00:04:57";"4RU86R3U224";;"4RU86R3U224";08.12.2016 11:55:10
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;12:00:57;"Outgoing Call";"00:03:37";"4RU89R984U4";;"4RU89R984U4";08.12.2016 12:04:34
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;12:08:37;"Outgoing Call";"00:00:27";"4RU89R984U4";;"4RU89R984U4";08.12.2016 12:09:04
"4RU89286696";;08/12/2016;12:19:57;"Incoming Call";"00:00:22";"4RU64I8I242";"353R2RIU44R94RI";"4RU64I8I242";08.12.2016 12:20:19
"4RU8U93I838";;08/12/2016;12:28:27;"Incoming Call";"00:00:50";"4RU64I8I242";"353R2RIU44R94RI";"4RU64I8I242";08.12.2016 12:29:17
"4RU6UI4U86U";;08/12/2016;12:32:24;"Incoming Call";"00:01:10";"4RU64I8I242";"353R2RIU44R94RI";"4RU64I8I242";08.12.2016 12:33:34
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;12:36:58;"Outgoing Call";"00:00:10";"4RU86R3U224";;"4RU86R3U224";08.12.2016 12:37:08
"4RU8U93I838";;08/12/2016;12:43:03;"Incoming Call";"00:00:07";"4RU64I8I242";"353R2RIU44R94RI";"4RU64I8I242";08.12.2016 12:43:10
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;13:47:51;"Outgoing Call";"00:01:23";"4RU89R984U4";;"4RU89R984U4";08.12.2016 13:49:14
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;13:57:44;"Outgoing Call";"00:00:39";"4RU8UU64IUU";;"4RU8UU64IUU";08.12.2016 13:58:23
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;14:15:11;"Outgoing Call";"00:01:22";"4RU8UU64IUU";;"4RU8UU64IUU";08.12.2016 14:16:33
"4RU8UU64IUU";;08/12/2016;14:17:50;"Incoming Call";"00:01:37";"4RU64I8I242";"353R2RIU44R94RI";"4RU64I8I242";08.12.2016 14:19:27
"4RU8UU64IUU";;08/12/2016;14:26:54;"Incoming SMS";"00:00:00";"4RU64I8I242";"353R2RIU44R94RI";"4RU893RII99";
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;14:34:46;"Outgoing Call";"00:02:07";"4RU946U4IR4";;"4RU946U4IR4";08.12.2016 14:36:53
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;14:37:30;"Outgoing Call";"00:00:49";"4RU6534R545";;"4RU6534R545";08.12.2016 14:38:19
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;14:39:33;"Outgoing Call";"00:01:15";"4R5828I88RR";;"4R5828I88RR";08.12.2016 14:40:48
"4RU9UU692RU";;08/12/2016;14:41:16;"Incoming Call";"00:01:52";"4RU64I8I242";"353R2RIU44R94RI";"4RU64I8I242";08.12.2016 14:43:08
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;14:49:31;"Outgoing Call";"00:03:37";"4R5828I88RR";;"4R5828I88RR";08.12.2016 14:53:08
"4RU89R984U4";;08/12/2016;15:06:28;"Incoming Call";"00:03:11";"4RU64I8I242";"353R2RIU44R94RI";"4RU64I8I242";08.12.2016 15:09:39
"4RU89R984U4";;08/12/2016;17:14:41;"Incoming Call";"00:01:38";"4RU64I8I242";"353R2RIU44R94RI";"4RU64I8I242";08.12.2016 17:16:19
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;17:21:41;"Outgoing Call";"00:00:34";"4R5828I88RR";;"4R5828I88RR";08.12.2016 17:22:15
"4RU89R984U4";;08/12/2016;19:23:45;"Incoming Call";"00:01:55";"4RU64I8I242";"353R2RIU44R94RI";"4RU64I8I242";08.12.2016 19:25:40
"4RU89R984U4";;08/12/2016;19:40:35;"Incoming Call";"00:01:51";"4RU64I8I242";"353R2RIU44R94RI";"4RU64I8I242";08.12.2016 19:42:26
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;19:46:24;"Outgoing Call";"00:01:11";"4RU6U334RI3";;"4RU6U334RI3";08.12.2016 19:47:35
"4RU64I8I242";;08/12/2016;20:38:37;"Forward";"00:00:01";"4RU6664U2R8";;"4RU6664U2R8";
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;20:38:38;"Outgoing Call";"00:00:01";"4RU6664U2R8";;"4RU6664U2R8";08.12.2016 20:38:39
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;20:40:54;"Outgoing Call";"00:00:03";"4RU9835RI39";;"4RU9835RI39";08.12.2016 20:40:57
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;20:41:11;"Outgoing Call";"00:01:11";"4RU9835RI39";;"4RU9835RI39";08.12.2016 20:42:22
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;20:47:38;"Outgoing Call";"00:00:09";"4RU6URR9U92";;"4RU6URR9U92";08.12.2016 20:47:47
"4RU64I8I242";"353R2RIU44R94RI";08/12/2016;23:17:11;"Outgoing Call";"01:12:11";"4RU6664U2R8";;"4RU6664U2R8";09.12.2016 00:29:22
"4RU64I8I242";"353R2RIU44R94RI";09/12/2016;00:33:40;"Outgoing Call";"00:07:13";"4RU6664U2R8";;"4RU6664U2R8";09.12.2016 00:40:53
"4RU64I8I242";"353R2RIU44R94RI";09/12/2016;00:41:20;"Outgoing Call";"00:01:23";"38R6423IR583";;"38R6423IR583";09.12.2016 00:42:43
"4RU64I8I242";"353R2RIU44R94RI";09/12/2016;00:42:53;"Outgoing Call";"00:12:07";"38R6423IR583";;"38R6423IR583";09.12.2016 00:55:00
"4RU64I8I242";"353R2RIU44R94RI";09/12/2016;00:55:28;"Outgoing Call";"00:06:33";"38R6423IR583";;"38R6423IR583";09.12.2016 01:02:01
"4RU64I8I242";"353R2RIU44R94RI";09/12/2016;01:03:31;"Outgoing Call";"00:07:06";"4RU6664U2R8";;"4RU6664U2R8";09.12.2016 01:10:37
"4RU64I8I242";"353R2RIU44R94RI";09/12/2016;01:20:59;"Outgoing Call";"00:03:04";"4RU6664U2R8";;"4RU6664U2R8";09.12.2016 01:24:03
"4RU64I8I242";;09/12/2016;01:25:17;"Outgoing Call";"00:07:50";"4RU6664U2R8";;"4RU6664U2R8";
"4RU64I8I242";;09/12/2016;01:34:32;"Outgoing Call";"00:23:11";"4RU6664U2R8";;"4RU6664U2R8";
"4RU64I8I242";;09/12/2016;03:23:52;"Outgoing Call";"00:00:56";"4RU955R8II6";;"4RU955R8II6";
"4RU64I8I242";;09/12/2016;04:10:19;"Outgoing Call";"00:00:47";"4RU955R8II6";;"4RU955R8II6";
"4RU64I8I242";;09/12/2016;05:46:00;"Outgoing Call";"00:02:06";"4RU955R8II6";;"4RU955R8II6";
"4RU9449U863";;09/12/2016;08:22:53;"Roaming";"00:00:44";"4RU64I8I242";;"4RU64I8I242";
"4RU64I8I242";;09/12/2016;08:24:12;"Outgoing Call";"00:00:49";"4RU88398U84";;"4RU88398U84";
"4RU64I8I242";;09/12/2016;08:25:28;"Outgoing Call";"00:01:00";"4RU64986995";;"4RU64986995";
"4RU64I8I242";;09/12/2016;08:56:35;"Outgoing Call";"00:00:23";"4RU6U334RI3";;"4RU6U334RI3";
"4RU64I8I242";;09/12/2016;10:02:07;"Forward";"00:00:05";"4RU6664U2R8";;"4RU6664U2R8";
"4RU64I8I242";;09/12/2016;10:02:07;"Outgoing Call";"00:00:04";"4RU6664U2R8";;"4RU6664U2R8";
"4RU64I8I242";;09/12/2016;10:02:08;"Outgoing Call";"00:00:03";"4RU6664U2R8";;"4RU6664U2R8";
"4RU64I8I242";;09/12/2016;10:06:23;"Outgoing Call";"00:01:17";"4RU6664U2R8";;"4RU6664U2R8";
"4RU64I8I242";;09/12/2016;10:06:23;"Outgoing Call";"00:01:16";"4RU6664U2R8";;"4RU6664U2R8";
"4RU64I8I242";;09/12/2016;10:10:01;"Outgoing Call";"00:00:03";"4RU9UUI3248";;"4RU9UUI3248";
"4RU9UUI3248";;09/12/2016;10:18:12;"Roaming";"00:08:01";"4RU64I8I242";;"4RU64I8I242";
"4RU64I8I242";;09/12/2016;11:04:09;"Outgoing Call";"00:00:33";"4RU955R8II6";;"4RU955R8II6";
"4RU64I8I242";;09/12/2016;11:08:39;"Outgoing Call";"00:00:31";"4RU955R8II6";;"4RU955R8II6";
"4RU64I8I242";;09/12/2016;11:39:03;"Outgoing Call";"00:00:52";"4RU92324I22";;"4RU92324I22";
"4RU64I8I242";;09/12/2016;11:42:41;"Outgoing Call";"00:00:05";"4RU89R984U4";;"4RU89R984U4";
"4RU64I8I242";;09/12/2016;11:51:51;"Outgoing Call";"00:00:10";"4RU955R8II6";;"4RU955R8II6";
"4RU64I8I242";;09/12/2016;11:53:31;"Outgoing SMS";"00:00:00";"4RU6598IIII";;"4RU6598IIII";
"4RU64I8I242";;09/12/2016;12:01:14;"Outgoing Call";"00:00:41";"4RU6U334RI3";;"4RU6U334RI3";
"4RU64I8I242";;09/12/2016;12:01:14;"Outgoing Call";"00:00:40";"4RU6U334RI3";;"4RU6U334RI3";
"4RU64I8I242";;09/12/2016;12:02:14;"Outgoing Call";"00:00:38";"4RU8U6UI3I3";;"4RU8U6UI3I3";
"4RU64I8I242";;09/12/2016;12:32:24;"Outgoing Call";"00:01:20";"4RU955R8II6";;"4RU955R8II6";
"4RU64I8I242";;09/12/2016;12:49:57;"Outgoing Call";"00:00:26";"4RU955R8II6";;"4RU955R8II6";
"4RU64I8I242";;09/12/2016;13:04:57;"Outgoing Call";"00:00:13";"4R2R644I2RR";;"4R2R644I2RR";
"4RU64I8I242";;09/12/2016;13:09:28;"Outgoing Call";"00:00:00";"4RU9UU98852";;"4RU9UU98852";
"4RU9UU98852";;09/12/2016;13:13:47;"Roaming";"00:00:32";"4RU64I8I242";;"4RU64I8I242";
"4RU9UU98852";;09/12/2016;13:16:53;"Roaming";"00:00:30";"4RU64I8I242";;"4RU64I8I242";
"4RU64I8I242";;09/12/2016;13:26:47;"Outgoing Call";"00:00:46";"4RU88398U84";;"4RU88398U84";
"4RU64I8I242";;09/12/2016;13:40:47;"Outgoing Call";"00:02:53";"38R6I43334I3";;"38R6I43334I3";
"4RU6396I242";;09/12/2016;13:42:37;"Roaming";"00:00:07";"4RU64I8I242";;"4RU64I8I242";
"4RU64I8I242";;09/12/2016;13:49:36;"Outgoing Call";"00:00:12";"4RU8UU64IUU";;"4RU8UU64IUU";
"4RU8UU64IUU";;09/12/2016;13:50:16;"Roaming";"00:03:37";"4RU64I8I242";;"4RU64I8I242";
"4RU64I8I242";;09/12/2016;14:01:57;"Outgoing Call";"00:00:23";"4R2R644I2RR";;"4R2R644I2RR";
"4RU64I8I242";;09/12/2016;14:02:42;"Outgoing Call";"00:01:40";"4R2R644I2RR";;"4R2R644I2RR";
"4RU64I8I242";;09/12/2016;14:04:33;"Outgoing Call";"00:00:35";"4R2R644I2RR";;"4R2R644I2RR";
"4RU64I8I242";;09/12/2016;15:37:12;"Outgoing Call";"00:00:36";"4RU9835RI39";;"4RU9835RI39";
"4RU64I8I242";;09/12/2016;15:40:00;"Outgoing Call";"00:00:17";"4RU9835RI39";;"4RU9835RI39";
"4RU9R3I294I";;09/12/2016;15:41:01;"Roaming";"00:02:00";"4RU64I8I242";;"4RU64I8I242";
"4RU64I8I242";;09/12/2016;15:43:17;"Outgoing Call";"00:00:31";"4RU9835RI39";;"4RU9835RI39";
"4RU64I8I242";;09/12/2016;15:46:22;"Outgoing Call";"00:00:40";"4RU88398U84";;"4RU88398U84";
"4RU64I8I242";;09/12/2016;16:38:26;"Outgoing Call";"00:02:38";"4RU6664U2R8";;"4RU6664U2R8";
"4RU64I8I242";;09/12/2016;16:38:26;"Outgoing Call";"00:02:37";"4RU6664U2R8";;"4RU6664U2R8";
"4RU88468335";;09/12/2016;16:45:25;"Roaming";"00:02:01";"4RU64I8I242";;"4RU64I8I242";
"4RU64I8I242";;09/12/2016;17:01:13;"Outgoing Call";"00:00:16";"4RU9835RI39";;"4RU9835RI39";
"4RU64I8I242";;09/12/2016;17:02:34;"Outgoing SMS";"00:00:00";"4RU6598IIII";;"4RU6598IIII";
"4RU64I8I242";;09/12/2016;17:02:41;"Outgoing SMS";"00:00:00";"4RU6598IIII";;"4RU6598IIII";
"4RU64I8I242";;09/12/2016;17:54:49;"Outgoing Call";"00:00:02";"38U65592444";;"38U65592444";
"4RU64I8I242";;09/12/2016;18:13:10;"Outgoing Call";"00:03:36";"38U65592444";;"38U65592444";
"4RU64I8I242";;09/12/2016;21:06:08;"Outgoing SMS";"00:00:00";"4RU6598IIII";;"4RU6598IIII";
"4RU64I8I242";;09/12/2016;21:06:36;"Outgoing SMS";"00:00:00";"4RU6598IIII";;"4RU6598IIII";
"4RU64I8I242";;09/12/2016;21:06:38;"Outgoing SMS";"00:00:00";"4RU6598IIII";;"4RU6598IIII";
"4RU64I8I242";;10/12/2016;05:57:11;"Outgoing SMS";"00:00:00";"4RU6598IIII";;"4RU6598IIII";
"4RU64I8I242";;10/12/2016;08:39:05;"Outgoing SMS";"00:00:00";"4RU6598IIII";;"4RU6598IIII";
"4RU64I8I242";;10/12/2016;12:48:57;"Outgoing SMS";"00:00:00";"4RU6598IIII";;"4RU6598IIII";
"4RU64I8I242";;10/12/2016;12:49:21;"Outgoing SMS";"00:00:00";"4RU6598IIII";;"4RU6598IIII";
"4RU64I8I242";;10/12/2016;13:26:37;"Outgoing Call";"00:00:32";"38R6I43334I3";;"38R6I43334I3";
"4RU64I8I242";;10/12/2016;14:13:36;"Outgoing Call";"00:01:11";"38U66RR8RI6";;"38U66RR8RI6";
"4RU64I8I242";;10/12/2016;14:48:50;"Forward";"00:00:05";"4RU6664U2R8";;"4RU6664U2R8";
"4RU64I8I242";;10/12/2016;14:48:51;"Outgoing Call";"00:00:04";"4RU6664U2R8";;"4RU6664U2R8";
"4RU64I8I242";;10/12/2016;15:00:34;"Outgoing Call";"00:00:59";"4RU6586I242";;"4RU6586I242";
"4RU64I8I242";;10/12/2016;15:55:28;"Outgoing Call";"00:02:28";"38U65592444";;"38U65592444";
"4RU64I8I242";;10/12/2016;16:32:48;"Outgoing Call";"00:03:36";"4RU6664U2R8";;"4RU6664U2R8";
"4RU64I8I242";;10/12/2016;17:49:47;"Outgoing Call";"00:01:30";"4RU8UU64IUU";;"4RU8UU64IUU";
"4RU64I8I242";;10/12/2016;20:45:45;"Outgoing Call";"00:00:51";"4RU6586I242";;"4RU6586I242";
"4RU64I8I242";;10/12/2016;21:57:37;"Forward";"00:00:05";"4R86IU62433IRI";;"4R86IU62433IRI";
"4RU64I8I242";;10/12/2016;21:57:37;"Outgoing Call";"00:00:05";"4R86IU62433IRI";;"4R86IU62433IRI";
"4RU64I8I242";;10/12/2016;21:57:38;"Outgoing Call";"00:00:03";"4R86IU62433IRI";;"4R86IU62433IRI";
"4RU64I8I242";;10/12/2016;21:58:20;"Outgoing Call";"00:00:37";"4RU6664U2R8";;"4RU6664U2R8";
"4RU64I8I242";;10/12/2016;21:58:21;"Outgoing Call";"00:00:36";"4RU6664U2R8";;"4RU6664U2R8";
"4RU64I8I242";;10/12/2016;22:14:07;"Outgoing Call";"00:00:42";"38U65592444";;"38U65592444";
"4RU64I8I242";;11/12/2016;10:31:28;"Outgoing Call";"00:00:37";"38U65654453";;"38U65654453";
"4RU64I8I242";;11/12/2016;10:39:41;"Outgoing SMS";"00:00:00";"4RU6598IIII";;"4RU6598IIII";
"4RU64I8I242";;12/12/2016;05:26:47;"Outgoing SMS";"00:00:00";"4RU6598IIII";;"4RU6598IIII";
"4RU64I8I242";;12/12/2016;06:20:22;"Outgoing Call";"00:00:18";"38R644RII8II";;"38R644RII8II";
"4RU64I8I242";;12/12/2016;12:38:32;"Outgoing Call";"00:02:14";"4RU9835RI39";;"4RU9835RI39";
"4RU64I8I242";;12/12/2016;12:51:44;"Outgoing Call";"00:00:51";"4RU89R984U4";;"4RU89R984U4";
"4RU64I8I242";;12/12/2016;13:13:04;"Outgoing Call";"00:00:59";"4RU9835RI39";;"4RU9835RI39";
"4RU9UU98852";;12/12/2016;13:16:13;"Roaming";"00:01:12";"4RU64I8I242";;"4RU64I8I242";
